iter	Passed	Remaining
0	2	198
1	3	190
2	5	183
3	7	173
4	9	172
5	10	171
6	12	170
7	14	168
8	16	167
9	18	165
10	20	164
11	22	162
12	23	160
13	25	158
14	27	157
15	29	155
16	31	153
17	33	151
18	35	149
19	37	148
20	38	146
21	40	144
22	42	142
23	44	141
24	46	139
25	48	137
26	50	135
27	51	133
28	54	132
29	55	130
30	57	128
31	59	126
32	61	125
33	63	123
34	65	121
35	67	119
36	69	117
37	71	116
38	73	114
39	75	112
40	76	110
41	77	107
42	79	105
43	81	104
44	83	102
45	85	100
46	87	98
47	89	96
48	91	94
49	93	93
50	95	91
51	97	90
52	99	88
53	101	86
54	103	84
55	104	82
56	106	80
57	108	78
58	110	76
59	112	75
60	114	73
61	116	71
62	118	69
63	120	67
64	122	65
65	124	64
66	126	62
67	128	60
68	130	58
69	132	56
70	134	54
71	136	52
72	138	51
73	140	49
74	142	47
75	143	45
76	145	43
77	147	41
78	149	39
79	151	37
80	153	35
81	155	34
82	156	32
83	158	30
84	160	28
85	162	26
86	164	24
87	166	22
88	168	20
89	170	18
90	172	17
91	174	15
92	176	13
93	178	11
94	179	9
95	181	7
96	183	5
97	185	3
98	187	1
99	189	0
