iter	Passed	Remaining
0	141	141528
1	143	71710
2	146	48539
3	149	37198
4	151	30120
5	153	25382
6	155	22007
7	157	19468
8	158	17489
9	160	15913
10	163	14677
11	165	13593
12	166	12676
13	168	11882
14	170	11196
15	172	10611
16	174	10091
17	176	9621
18	178	9217
19	180	8841
20	182	8501
21	184	8184
22	185	7894
23	187	7631
24	189	7385
25	191	7157
26	193	6958
27	195	6770
28	196	6592
29	198	6428
30	200	6273
31	202	6126
32	204	5987
33	206	5862
34	209	5763
35	210	5644
36	212	5532
37	214	5427
38	216	5325
39	217	5228
40	219	5135
41	222	5066
42	224	4985
43	225	4906
44	227	4829
45	229	4757
46	231	4686
47	232	4619
48	234	4556
49	237	4504
50	239	4447
51	240	4392
52	242	4338
53	244	4286
54	246	4234
55	248	4186
56	250	4147
57	252	4103
58	254	4058
59	256	4014
60	257	3970
61	259	3927
62	261	3889
63	263	3852
64	265	3823
65	267	3788
66	269	3754
67	271	3718
68	273	3684
69	274	3651
70	276	3620
71	278	3591
72	280	3566
73	282	3539
74	284	3510
75	286	3483
76	288	3455
77	290	3428
78	291	3402
79	293	3380
80	296	3362
81	298	3337
82	299	3303
83	300	3279
84	302	3257
85	304	3235
86	306	3217
87	308	3195
88	310	3182
89	312	3161
90	314	3141
91	316	3120
92	317	3100
93	320	3084
94	321	3066
95	323	3050
96	326	3036
97	328	3020
98	330	3004
99	331	2987
100	333	2971
101	335	2954
102	337	2939
103	339	2925
104	341	2911
105	343	2897
106	345	2882
107	347	2868
108	349	2853
109	350	2839
110	352	2825
111	355	2815
112	356	2802
113	358	2789
114	360	2777
115	362	2764
116	364	2749
117	366	2737
118	370	2742
119	372	2735
120	375	2726
121	377	2713
122	379	2703
123	381	2693
124	383	2687
125	386	2680
126	388	2670
127	390	2662
128	393	2653
129	395	2645
130	397	2637
131	399	2629
132	401	2618
133	403	2608
134	405	2598
135	407	2587
136	409	2577
137	411	2568
138	413	2561
139	415	2551
140	417	2542
141	419	2532
142	421	2524
143	423	2516
144	425	2509
145	427	2502
146	430	2495
147	431	2486
148	433	2477
149	435	2470
150	438	2464
151	442	2468
152	444	2462
153	447	2460
154	449	2453
155	452	2446
156	454	2437
157	456	2432
158	459	2428
159	461	2421
160	462	2410
161	464	2403
162	466	2395
163	468	2387
164	470	2379
165	472	2375
166	474	2368
167	476	2361
168	478	2353
169	480	2346
170	482	2338
171	484	2331
172	486	2325
173	488	2320
174	490	2313
175	492	2306
176	494	2299
177	496	2291
178	498	2284
179	500	2279
180	502	2274
181	504	2268
182	506	2261
183	508	2254
184	510	2247
185	512	2240
186	514	2235
187	516	2231
188	518	2225
189	520	2219
190	522	2213
191	524	2207
192	526	2201
193	528	2196
194	531	2193
195	534	2191
196	536	2184
197	537	2178
198	539	2172
199	541	2166
200	543	2161
201	546	2157
202	548	2151
203	549	2145
204	551	2139
205	553	2133
206	555	2128
207	557	2122
208	559	2117
209	561	2112
210	563	2106
211	565	2101
212	567	2095
213	568	2089
214	570	2084
215	572	2079
216	575	2075
217	576	2069
218	578	2064
219	580	2058
220	582	2053
221	584	2047
222	586	2042
223	588	2037
